"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2532","Login with empty password","chrome","2026-05-11","passed","2026-05-11","","LoginTest.spec.js","",""
"","5145","Login with invalid user","chrome","2026-05-11","passed","2026-05-11","","LoginTest.spec.js","",""
"","5855","Delete Emergency contact details","chrome","2026-05-12","passed","2026-05-12","","PCoreAutomationPO.spec.js","",""
"","5161","verify DOB of an Employee","chrome","2026-05-12","passed","2026-05-12","","PCoreAutomationPO.spec.js","",""
"","30194","Timesheet update test","chrome","2026-05-12","broken","2026-05-12","","PCoreAutomationPO.spec.js","",""
"","4743","Login with invalid password","chrome","2026-05-11","passed","2026-05-11","","LoginTest.spec.js","",""
"","8484","Verify supervisor of an Employee","chrome","2026-05-12","passed","2026-05-12","","PCoreAutomationPO.spec.js","",""
"","2748","Login with empty username","chrome","2026-05-11","passed","2026-05-11","","LoginTest.spec.js","",""
"","7369","Upload a certificate of a course","chrome","2026-05-12","passed","2026-05-12","","PCoreAutomationPO.spec.js","",""
"","7165","Login with valid credentials","chrome","2026-05-11","passed","2026-05-11","","LoginTest.spec.js","",""
"","10169","Add Emergency contact detail","chrome","2026-05-12","passed","2026-05-12","","PCoreAutomationPO.spec.js","",""
"","8198","Update contact details","chrome","2026-05-12","passed","2026-05-12","","PCoreAutomationPO.spec.js","",""
"","7563","verify Anniversary of an Employee","chrome","2026-05-12","passed","2026-05-12","","PCoreAutomationPO.spec.js","",""
